0,1,2,3
remove_Occ,,,
sort_matrix,,,
find_Volume,,,
text_lowercase_underscore,,,
square_perimeter,,,
str_to_list,lst_to_string,get_char_count_array,remove_dirty_chars
test_duplicate,,,
is_woodall,,,
rev,check,,
find_Max_Num,,,
opposite_Signs,,,
is_octagonal,,,
count_Substrings,,,
smallest_num,,,
max_difference,,,
subject_marks,,,
recursive_list_sum,,,
pos_count,,,
bell_number,,,
is_Monotonic,,,
is_sublist,,,
find_equal_tuple,get_equal,,
comb_sort,,,
dif_Square,,,
is_samepatterns,,,
find_tuples,,,
is_Diff,,,
word_len,,,
tetrahedral_number,,,
volume_sphere,,,
get_Char,,,
sequence,,,
surfacearea_sphere,,,
centered_hexagonal_number,,,
merge_dictionaries_three,,,
freq_count,,,
closest_num,,,
len_log,,,
find_substring,,,
is_undulating,,,
power,,,
index_minimum,,,
Find_Min_Length,,,
divisor,,,
frequency_lists,,,
multiply_num,,,
decimal_to_binary,,,
next_smallest_palindrome,,,
kth_element,,,
snake_to_camel,,,
eulerian_num,,,
sort_sublists,,,
count,,,
add_lists,,,
merge_sorted_list,,,
odd_Equivalent,,,
common_in_nested_lists,,,
check_integer,,,
empty_dit,,,
tuple_to_int,,,
list_to_float,,,
string_to_list,,,
search,,,
max_product_tuple,,,
amicable_numbers_sum,,,
angle_complex,,,
find_length,,,
sum,,,
multiply_int,,,
long_words,,,
magic_square_test,,,
max_occurrences,,,
reverse_vowels,,,
tup_string,,,
sum_negativenum,,,
hexagonal_num,,,
zero_count,,,
is_Sum_Of_Powers_Of_Two,,,
circle_circumference,,,
extract_singly,,,
pancake_sort,,,
count_samepair,,,
find_lists,,,
max_Abs_Diff,,,
find_solution,,,
remove_elements,,,
sum_series,,,
area_polygon,,,
div_sum,are_equivalent,,
count_char_position,,,
find_even_pair,,,
next_power_of_2,,,
frequency,,,
sum_range_list,,,
perimeter_pentagon,,,
count_occurance,,,
check_type,,,
is_majority,binary_search,,
count_Set_Bits,,,
odd_values_string,,,
min_of_three,,,
all_Bits_Set_In_The_Given_Range,,,
re_arrange_array,,,
replace_blank,,,
larg_nnum,,,
lateralsuface_cylinder,,,
volume_cube,,,
even_bit_set_number,,,
check_occurences,,,
number_of_substrings,,,
get_total_number_of_sequences,,,
replace_list,,,
count_charac,,,
next_Perfect_Square,,,
max_sum,,,
babylonian_squareroot,,,
lps,,,
harmonic_sum,,,
intersection_array,,,
count_X,,,
insert_element,,,
convert,,,
count_integer,,,
combinations_colors,,,
count_Primes_nums,,,
swap_numbers,,,
maximize_elements,,,
newman_prime,,,
division_elements,,,
split_two_parts,,,
dog_age,,,
list_split,,,
lateralsurface_cube,,,
square_Sum,,,
find_star_num,,,
ascii_value,,,
sum_even_and_even_index,,,
even_Power_Sum,,,
rear_extract,,,
substract_elements,,,
even_binomial_Coeff_Sum,,,
volume_cylinder,,,
dict_filter,,,
count_first_elements,,,
is_num_decagonal,,,
sequential_search,,,
all_unique,,,
sub_list,,,
validate,,,
check_element,,,
text_match_two_three,,,
max_sub_array_sum_repeated,,,
square_Sum,,,
max_length,,,
count_no_of_ways,,,
find,,,
otherside_rightangle,,,
max_val,,,
sum_div,,,
get_Inv_Count,,,
flatten_list,,,
max_aggregate,,,
count_binary_seq,,,
dict_depth,,,
find_Element,,,
start_withp,,,
max_sum_increasing_subseq,,,
colon_tuplex,,,
large_product,,,
maximum,,,
string_to_tuple,,,
set_left_most_unset_bit,,,
volume_cone,,,
highest_Power_of_2,,,
find_lucas,,,
add_string,,,
convert_list_dictionary,,,
get_max_sum,,,
max_length_list,,,
check_distinct,,,
first_non_repeating_character,,,
check_char,,,
median_numbers,,,
sum_of_digits,,,
bitwise_xor,,,
extract_freq,,,
add_nested_tuples,,,
minimum,,,
check_tuplex,,,
find_Parity,,,
rearrange_bigger,,,
k_smallest_pairs,,,
min_product_tuple,,,
min_val,,,
snake_to_camel,,,
remove_odd,,,
extract_nth_element,,,
overlapping,,,
max_Product,,,
group_tuples,,,
Find_Max,,,
round_and_sum,,,
cube_Sum,,,
concatenate_tuple,,,
find_Average_Of_Cube,,,
extract_rear,,,
count_element_in_list,,,
filter_oddnumbers,,,
change_date_format,,,
shell_sort,,,
and_tuples,,,
parabola_directrix,,,
common_element,,,
median_trapezium,,,
check_greater,,,
text_match_one,,,
last_Digit,,,
neg_nos,,,
remove_odd,,,
count_bidirectional,,,
multiple_to_single,,,
find_adverb_position,,,
surfacearea_cube,,,
positive_count,,,
largest_neg,,,
trim_tuple,,,
index_multiplication,,,
count_Occurrence,,,
cube_nums,,,
cal_sum,,,
extract_string,,,
remove_whitespaces,,,
loss_amount,,,
sumofFactors,,,
text_match_wordz,,,
check_monthnumb_number,,,
reverse_string_list,,,
Find_Min,,,
rectangle_area,,,
remove_uppercase,,,
Extract,,,
upper_ctr,,,
combinations_list,,,
max_subarray_product,,,
check_value,,,
drop_empty,,,
max_product,,,
add_pairwise,,,
find_remainder,,,
check_Consecutive,,,
tuple_intersection,,,
replace_char,,,
sort_counter,,,
big_sum,,,
is_lower,,,
remove_lowercase,,,
first_Digit,,,
